# w_1 w_2 DS VF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
1.131574556088876582e+00 1.482251149462884054e+00 0.000000000000000000e+00 1.759924939295988588e+00 2.720659693563409753e-01 4.566410445290516873e-01 1.042999419157001340e+00 1.351304568383915772e+00 1.092711155556710878e+01 1.318886224333115287e+01 1.278816326371659962e+01 1.545505851995848268e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.131574556088876582e+00 1.482251149462884054e+00 1.000000000000000000e+00 1.612490240347246306e+00 2.721528694380067059e-01 4.685432060400241960e-01 1.043165476596225050e+00 1.368804333142423113e+00 1.092692704730620790e+01 1.318812235738698035e+01 1.368336296427638565e+01 1.543561433689308870e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.924998089630837433e-03 1.167092551104824905e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.897351290333429289e-16 3.824061248457810147e-01 1.897351290333429362e-12 1.236581509802541667e+00 0.000000000000000000e+00 5.315510086233469877e+00 2.516010317189663059e+00 1.303457055825404254e+01 1.207519519943508035e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.924998089630837433e-03 1.167092551104824905e+00 1.000000000000000000e+00 0.000000000000000000e+00 3.683802653433615048e-16 4.349411839683699488e-01 3.683802653433615444e-12 1.318801453606088581e+00 0.000000000000000000e+00 5.265915856668984318e+00 2.440610614290001479e+00 1.294321506520722309e+01 1.207519520470363927e+00 1.456932177711697113e-10 1.404110289514060624e-10 1.309456480557249017e-10
1.139312616775220111e+00 9.656100186458148327e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.019160015501841640e-07 0.000000000000000000e+00 4.700012494858071778e-04 0.000000000000000000e+00 1.394163351139105522e+01 1.854687492212933141e-13 5.567136346700684690e+00 1.110889137591748899e+00 0.000000000000000000e+00 1.189004198773099930e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.139312616775220111e+00 9.656100186458148327e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.394215576018882707e+01 9.804585813576275709e-14 5.566830598617745984e+00 1.110888911236628918e+00 0.000000000000000000e+00 1.189004017575922889e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.259764999191771540e-01 1.997162199248863068e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.809834146041158515e-03 1.000000000000000000e+00 8.488457252333067582e-02 1.999800009999999961e+00 1.461196140641817909e+00 5.676602828439007098e+00 2.716175234034129637e+00 1.999800010000000228e+01 3.194314790874394367e-10 3.198875181669056559e-10 3.203228411753395073e-10 1.833425792898332185e+00
3.259764999191771540e-01 1.997162199248863068e+00 1.000000000000000000e+00 0.000000000000000000e+00 9.001630113989791395e-04 9.999999999826674202e-01 5.980576738921165175e-02 1.999800009982667381e+00 1.489061479678623900e+00 5.672356182115744438e+00 5.619730222823811516e+00 1.999800010000000228e+01 6.740209427104435630e-10 7.047543998731764904e-10 6.696478284265536957e-10 1.833425793227867695e+00
1.201213824152511433e+00 2.982496139759622800e-01 0.000000000000000000e+00 3.731244837963714200e-01 8.656811673534348544e-16 0.000000000000000000e+00 8.665205705749023934e-12 0.000000000000000000e+00 1.460093722692765894e+01 9.488787300619933029e-01 1.723851563536668685e+00 2.059767641155693774e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.201213824152511433e+00 2.982496139759622800e-01 1.000000000000000000e+00 1.540981577103478273e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.460093722695646967e+01 9.488787300419069259e-01 1.723807827128457593e+00 2.059767641158116724e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.881950008421989562e-01 1.726634562527896488e+00 0.000000000000000000e+00 1.883125711288903492e+00 1.013610846409039451e-01 1.000000000000000000e+00 6.365452638889157466e-01 1.999800009999999961e+00 6.747061436028512382e+00 1.006132117564616557e+01 1.662639709470388993e+01 1.826621674154015906e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.881950008421989562e-01 1.726634562527896488e+00 1.000000000000000000e+00 1.333533649180006719e+00 1.016667537319012327e-01 9.999999999990474286e-01 6.375045357965712922e-01 1.999800009999047390e+00 6.745995578353328526e+00 1.006100949955172119e+01 1.662637974468911750e+01 1.826621674153811625e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.223161325053772119e-01 1.618890009437846222e+00 0.000000000000000000e+00 6.910658557300186633e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.999800009999999961e+00 5.304933103498760127e-01 3.201292845195501613e+00 1.602057332955547153e+01 1.770535270058327271e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
